Source,Target,pair,Weight,counts
Will,Riley,Will Riley,2.130333768,135
Will,Nomi,Will Nomi,1.949390007,89
Kala,Wolfgang,Kala Wolfgang,1.875061263,75
Riley,Sun,Riley Sun,1.544068044,35
Sun,Capheus,Sun Capheus,1.462397998,29
Lito,Nomi,Lito Nomi,1.414973348,26
Kala,Capheus,Kala Capheus,1.414973348,26
Riley,Capheus,Riley Capheus,1.380211242,24
Will,Kala,Will Kala,1.146128036,14
Lito,Wolfgang,Lito Wolfgang,1.146128036,14
Will,Lito,Will Lito,0.903089987,8
Lito,Sun,Lito Sun,0.77815125,6
Will,Sun,Will Sun,0.698970004,5
Will,Wolfgang,Will Wolfgang,0.698970004,5
Will,Capheus,Will Capheus,0.698970004,5
Sun,Nomi,Sun Nomi,0.698970004,5
Capheus,Nomi,Capheus Nomi,0.477121255,3
Riley,Nomi,Riley Nomi,0.301029996,2
Sun,Kala,Sun Kala,0.301029996,2
